logT	-8.0	-7.5	-7.0	-6.5	-6.0	-5.5	-5.0	-4.5	-4.0	-3.5	-3.0	-2.5	-2.0	-1.5	-1.0	-0.5	0.0	0.5	1.0
5.3	-0.281	-0.22	-0.147	-0.06	0.051	0.196	0.381	0.608	0.873	1.181	1.54	1.946	2.365	2.758	3.089	3.365	3.614	3.834	4.022
5.35	-0.357	-0.305	-0.236	-0.147	-0.035	0.113	0.309	0.555	0.842	1.163	1.519	1.905	2.302	2.671	2.973	3.229	3.465	3.688	3.884
5.4	-0.41	-0.372	-0.317	-0.24	-0.137	0.003	0.197	0.456	0.767	1.11	1.471	1.847	2.229	2.576	2.858	3.097	3.327	3.551	3.751
5.45	-0.444	-0.421	-0.381	-0.319	-0.226	-0.093	0.094	0.354	0.68	1.043	1.415	1.788	2.154	2.482	2.747	2.974	3.199	3.423	3.625
5.5	-0.457	-0.446	-0.423	-0.38	-0.306	-0.189	-0.014	0.238	0.571	0.955	1.349	1.728	2.083	2.393	2.643	2.862	3.084	3.306	3.511
5.55	-0.463	-0.457	-0.446	-0.42	-0.368	-0.272	-0.112	0.136	0.479	0.881	1.29	1.668	2.014	2.31	2.548	2.76	2.98	3.199	3.406
5.6	-0.465	-0.462	-0.455	-0.44	-0.407	-0.338	-0.199	0.039	0.387	0.807	1.23	1.614	1.952	2.235	2.463	2.67	2.887	3.103	3.314
5.65	-0.466	-0.463	-0.458	-0.448	-0.428	-0.383	-0.28	-0.07	0.272	0.71	1.159	1.557	1.894	2.167	2.388	2.592	2.805	3.017	3.234
5.7	-0.467	-0.464	-0.459	-0.451	-0.436	-0.403	-0.327	-0.158	0.16	0.604	1.079	1.498	1.837	2.108	2.325	2.528	2.735	2.946	3.171
5.75	-0.467	-0.465	-0.46	-0.453	-0.44	-0.413	-0.355	-0.223	0.053	0.49	0.986	1.429	1.78	2.052	2.269	2.47	2.672	2.877	3.104
5.8	-0.467	-0.465	-0.461	-0.454	-0.441	-0.417	-0.367	-0.258	-0.027	0.378	0.882	1.348	1.715	1.994	2.216	2.418	2.616	2.817	3.043
5.85	-0.467	-0.465	-0.462	-0.455	-0.443	-0.419	-0.374	-0.278	-0.074	0.293	0.783	1.263	1.647	1.935	2.165	2.37	2.566	2.77	2.999
5.9	-0.467	-0.465	-0.462	-0.457	-0.445	-0.423	-0.379	-0.29	-0.108	0.223	0.691	1.178	1.577	1.877	2.116	2.325	2.522	2.723	2.95
5.95	-0.466	-0.464	-0.46	-0.455	-0.444	-0.423	-0.382	-0.298	-0.128	0.18	0.623	1.103	1.512	1.825	2.073	2.287	2.481	2.672	2.892
6	-0.464	-0.461	-0.457	-0.451	-0.441	-0.422	-0.383	-0.302	-0.137	0.159	0.585	1.054	1.464	1.784	2.039	2.255	2.441	2.622	2.844
6.1	-0.466	-0.46	-0.452	-0.442	-0.429	-0.409	-0.374	-0.303	-0.152	0.118	0.507	0.956	1.373	1.712	1.98	2.187	2.353	2.528	2.742
6.2	-0.471	-0.468	-0.462	-0.45	-0.429	-0.397	-0.352	-0.28	-0.146	0.092	0.449	0.882	1.301	1.643	1.898	2.08	2.217	2.389	2.619
